mutation_id,step,method,adversarial,accepted,closed,unsafe_accept,monitor_count,monitor_cost,node_count,edge_count,admission_latency_ns,seed,topology,initial_agents
chain-8-101-0,1,startup-cut,0,1,0,1,1,1,13,12,0,101,chain,8
chain-8-101-0,1,periodic-5,0,1,0,1,1,1,13,12,0,101,chain,8
chain-8-101-0,1,sink-mediation,0,1,1,0,3,36,13,12,0,101,chain,8
chain-8-101-0,1,full-mediation,0,1,1,0,11,57,13,12,0,101,chain,8
chain-8-101-0,1,epochcut,0,1,1,0,3,6,13,12,192400,101,chain,8
chain-8-101-1,2,startup-cut,1,1,0,1,1,1,15,15,0,101,chain,8
chain-8-101-1,2,periodic-5,1,1,0,1,1,1,15,15,0,101,chain,8
chain-8-101-1,2,sink-mediation,1,1,1,0,3,36,15,15,0,101,chain,8
chain-8-101-1,2,full-mediation,1,1,1,0,12,59,15,15,0,101,chain,8
chain-8-101-1,2,epochcut,1,1,1,0,4,8,15,15,218200,101,chain,8
chain-8-101-2,3,startup-cut,0,1,0,1,1,1,16,17,0,101,chain,8
chain-8-101-2,3,periodic-5,0,1,0,1,1,1,16,17,0,101,chain,8
chain-8-101-2,3,sink-mediation,0,1,1,0,3,36,16,17,0,101,chain,8
chain-8-101-2,3,full-mediation,0,1,1,0,13,63,16,17,0,101,chain,8
chain-8-101-2,3,epochcut,0,1,1,0,4,8,16,17,221800,101,chain,8
chain-8-101-3,4,startup-cut,1,1,0,1,1,1,18,19,0,101,chain,8
chain-8-101-3,4,periodic-5,1,1,0,1,1,1,18,19,0,101,chain,8
chain-8-101-3,4,sink-mediation,1,1,1,0,4,48,18,19,0,101,chain,8
chain-8-101-3,4,full-mediation,1,1,1,0,14,75,18,19,0,101,chain,8
chain-8-101-3,4,epochcut,1,1,1,0,4,8,18,19,246900,101,chain,8
chain-8-101-4,5,startup-cut,0,1,0,1,1,1,18,20,0,101,chain,8
chain-8-101-4,5,periodic-5,0,1,1,0,4,8,18,20,0,101,chain,8
chain-8-101-4,5,sink-mediation,0,1,1,0,4,48,18,20,0,101,chain,8
chain-8-101-4,5,full-mediation,0,1,1,0,14,75,18,20,0,101,chain,8
chain-8-101-4,5,epochcut,0,1,1,0,4,8,18,20,279700,101,chain,8
chain-8-101-5,6,startup-cut,1,1,0,1,1,1,19,22,0,101,chain,8
chain-8-101-5,6,periodic-5,1,1,0,1,4,8,19,22,0,101,chain,8
chain-8-101-5,6,sink-mediation,1,1,1,0,4,48,19,22,0,101,chain,8
chain-8-101-5,6,full-mediation,1,1,1,0,14,75,19,22,0,101,chain,8
chain-8-101-5,6,epochcut,1,1,1,0,4,10,19,22,276700,101,chain,8
chain-8-101-6,7,startup-cut,0,1,0,1,1,1,20,24,0,101,chain,8
chain-8-101-6,7,periodic-5,0,1,0,1,4,8,20,24,0,101,chain,8
chain-8-101-6,7,sink-mediation,0,1,1,0,4,48,20,24,0,101,chain,8
chain-8-101-6,7,full-mediation,0,1,1,0,15,77,20,24,0,101,chain,8
chain-8-101-6,7,epochcut,0,1,1,0,4,10,20,24,329900,101,chain,8
chain-8-101-7,8,startup-cut,1,1,0,1,1,1,21,27,0,101,chain,8
chain-8-101-7,8,periodic-5,1,1,0,1,4,8,21,27,0,101,chain,8
chain-8-101-7,8,sink-mediation,1,1,1,0,4,48,21,27,0,101,chain,8
chain-8-101-7,8,full-mediation,1,1,1,0,16,82,21,27,0,101,chain,8
chain-8-101-7,8,epochcut,1,1,1,0,4,11,21,27,311500,101,chain,8
chain-8-101-8,9,startup-cut,0,1,0,1,1,1,22,28,0,101,chain,8
chain-8-101-8,9,periodic-5,0,1,0,1,4,8,22,28,0,101,chain,8
chain-8-101-8,9,sink-mediation,0,1,1,0,5,62,22,28,0,101,chain,8
chain-8-101-8,9,full-mediation,0,1,1,0,17,96,22,28,0,101,chain,8
chain-8-101-8,9,epochcut,0,1,1,0,4,11,22,28,359700,101,chain,8
chain-8-101-9,10,startup-cut,1,1,0,1,1,1,22,30,0,101,chain,8
chain-8-101-9,10,periodic-5,1,1,1,0,4,11,22,30,0,101,chain,8
chain-8-101-9,10,sink-mediation,1,1,1,0,5,62,22,30,0,101,chain,8
chain-8-101-9,10,full-mediation,1,1,1,0,17,96,22,30,0,101,chain,8
chain-8-101-9,10,epochcut,1,1,1,0,4,11,22,30,321300,101,chain,8
chain-8-101-10,11,startup-cut,0,1,0,1,1,1,23,31,0,101,chain,8
chain-8-101-10,11,periodic-5,0,1,1,0,4,11,23,31,0,101,chain,8
chain-8-101-10,11,sink-mediation,0,1,1,0,5,62,23,31,0,101,chain,8
chain-8-101-10,11,full-mediation,0,1,1,0,17,96,23,31,0,101,chain,8
chain-8-101-10,11,epochcut,0,1,1,0,4,11,23,31,363500,101,chain,8
chain-8-101-11,12,startup-cut,1,1,0,1,1,1,25,34,0,101,chain,8
chain-8-101-11,12,periodic-5,1,1,0,1,4,11,25,34,0,101,chain,8
chain-8-101-11,12,sink-mediation,1,1,1,0,5,62,25,34,0,101,chain,8
chain-8-101-11,12,full-mediation,1,1,1,0,18,98,25,34,0,101,chain,8
chain-8-101-11,12,epochcut,1,1,1,0,5,13,25,34,440300,101,chain,8
chain-8-101-12,13,startup-cut,0,1,0,1,1,1,26,36,0,101,chain,8
chain-8-101-12,13,periodic-5,0,1,0,1,4,11,26,36,0,101,chain,8
chain-8-101-12,13,sink-mediation,0,1,1,0,5,62,26,36,0,101,chain,8
chain-8-101-12,13,full-mediation,0,1,1,0,19,100,26,36,0,101,chain,8
chain-8-101-12,13,epochcut,0,1,1,0,5,13,26,36,429300,101,chain,8
chain-8-101-13,14,startup-cut,1,1,0,1,1,1,28,38,0,101,chain,8
chain-8-101-13,14,periodic-5,1,1,0,1,4,11,28,38,0,101,chain,8
chain-8-101-13,14,sink-mediation,1,1,1,0,6,75,28,38,0,101,chain,8
chain-8-101-13,14,full-mediation,1,1,1,0,20,113,28,38,0,101,chain,8
chain-8-101-13,14,epochcut,1,1,1,0,5,13,28,38,492100,101,chain,8
chain-8-101-14,15,startup-cut,0,1,0,1,1,1,28,39,0,101,chain,8
chain-8-101-14,15,periodic-5,0,1,1,0,5,13,28,39,0,101,chain,8
chain-8-101-14,15,sink-mediation,0,1,1,0,6,75,28,39,0,101,chain,8
chain-8-101-14,15,full-mediation,0,1,1,0,20,113,28,39,0,101,chain,8
chain-8-101-14,15,epochcut,0,1,1,0,5,13,28,39,427100,101,chain,8
chain-8-101-15,16,startup-cut,1,1,0,1,1,1,29,41,0,101,chain,8
chain-8-101-15,16,periodic-5,1,1,1,0,5,13,29,41,0,101,chain,8
chain-8-101-15,16,sink-mediation,1,1,1,0,6,75,29,41,0,101,chain,8
chain-8-101-15,16,full-mediation,1,1,1,0,20,113,29,41,0,101,chain,8
chain-8-101-15,16,epochcut,1,1,1,0,5,13,29,41,512300,101,chain,8
chain-8-101-16,17,startup-cut,0,1,0,1,1,1,30,43,0,101,chain,8
chain-8-101-16,17,periodic-5,0,1,1,0,5,13,30,43,0,101,chain,8
chain-8-101-16,17,sink-mediation,0,1,1,0,6,75,30,43,0,101,chain,8
chain-8-101-16,17,full-mediation,0,1,1,0,21,115,30,43,0,101,chain,8
chain-8-101-16,17,epochcut,0,1,1,0,5,13,30,43,461100,101,chain,8
chain-8-101-17,18,startup-cut,1,1,0,1,1,1,31,46,0,101,chain,8
chain-8-101-17,18,periodic-5,1,1,0,1,5,13,31,46,0,101,chain,8
chain-8-101-17,18,sink-mediation,1,1,1,0,6,75,31,46,0,101,chain,8
chain-8-101-17,18,full-mediation,1,1,1,0,22,118,31,46,0,101,chain,8
chain-8-101-17,18,epochcut,1,1,1,0,6,18,31,46,540300,101,chain,8
chain-8-101-18,19,startup-cut,0,1,0,1,1,1,32,47,0,101,chain,8
chain-8-101-18,19,periodic-5,0,1,0,1,5,13,32,47,0,101,chain,8
chain-8-101-18,19,sink-mediation,0,1,1,0,7,87,32,47,0,101,chain,8
chain-8-101-18,19,full-mediation,0,1,1,0,23,130,32,47,0,101,chain,8
chain-8-101-18,19,epochcut,0,1,1,0,6,18,32,47,547400,101,chain,8
chain-8-101-19,20,startup-cut,1,1,0,1,1,1,32,49,0,101,chain,8
chain-8-101-19,20,periodic-5,1,1,1,0,6,18,32,49,0,101,chain,8
chain-8-101-19,20,sink-mediation,1,1,1,0,7,87,32,49,0,101,chain,8
chain-8-101-19,20,full-mediation,1,1,1,0,23,130,32,49,0,101,chain,8
chain-8-101-19,20,epochcut,1,1,1,0,6,18,32,49,648300,101,chain,8
chain-8-101-20,21,startup-cut,0,1,0,1,1,1,33,50,0,101,chain,8
chain-8-101-20,21,periodic-5,0,1,1,0,6,18,33,50,0,101,chain,8
chain-8-101-20,21,sink-mediation,0,1,1,0,7,87,33,50,0,101,chain,8
chain-8-101-20,21,full-mediation,0,1,1,0,23,130,33,50,0,101,chain,8
chain-8-101-20,21,epochcut,0,1,1,0,6,18,33,50,545000,101,chain,8
chain-8-101-21,22,startup-cut,1,1,0,1,1,1,35,53,0,101,chain,8
chain-8-101-21,22,periodic-5,1,1,0,1,6,18,35,53,0,101,chain,8
chain-8-101-21,22,sink-mediation,1,1,1,0,7,87,35,53,0,101,chain,8
chain-8-101-21,22,full-mediation,1,1,1,0,24,132,35,53,0,101,chain,8
chain-8-101-21,22,epochcut,1,1,1,0,7,20,35,53,630500,101,chain,8
chain-8-101-22,23,startup-cut,0,1,0,1,1,1,36,55,0,101,chain,8
chain-8-101-22,23,periodic-5,0,1,0,1,6,18,36,55,0,101,chain,8
chain-8-101-22,23,sink-mediation,0,1,1,0,7,87,36,55,0,101,chain,8
chain-8-101-22,23,full-mediation,0,1,1,0,25,136,36,55,0,101,chain,8
chain-8-101-22,23,epochcut,0,1,1,0,7,20,36,55,642100,101,chain,8
chain-8-101-23,24,startup-cut,1,1,0,1,1,1,38,57,0,101,chain,8
chain-8-101-23,24,periodic-5,1,1,0,1,6,18,38,57,0,101,chain,8
chain-8-101-23,24,sink-mediation,1,1,1,0,8,101,38,57,0,101,chain,8
chain-8-101-23,24,full-mediation,1,1,1,0,26,150,38,57,0,101,chain,8
chain-8-101-23,24,epochcut,1,1,1,0,8,22,38,57,666800,101,chain,8
chain-8-101-24,25,startup-cut,0,1,0,1,1,1,38,58,0,101,chain,8
chain-8-101-24,25,periodic-5,0,1,1,0,8,22,38,58,0,101,chain,8
chain-8-101-24,25,sink-mediation,0,1,1,0,8,101,38,58,0,101,chain,8
chain-8-101-24,25,full-mediation,0,1,1,0,26,150,38,58,0,101,chain,8
chain-8-101-24,25,epochcut,0,1,1,0,8,22,38,58,661100,101,chain,8
chain-8-101-25,26,startup-cut,1,1,0,1,1,1,39,59,0,101,chain,8
chain-8-101-25,26,periodic-5,1,1,1,0,8,22,39,59,0,101,chain,8
chain-8-101-25,26,sink-mediation,1,1,1,0,8,101,39,59,0,101,chain,8
chain-8-101-25,26,full-mediation,1,1,1,0,26,150,39,59,0,101,chain,8
chain-8-101-25,26,epochcut,1,1,1,0,8,22,39,59,691400,101,chain,8
chain-8-101-26,27,startup-cut,0,1,0,1,1,1,40,61,0,101,chain,8
chain-8-101-26,27,periodic-5,0,1,1,0,8,22,40,61,0,101,chain,8
chain-8-101-26,27,sink-mediation,0,1,1,0,8,101,40,61,0,101,chain,8
chain-8-101-26,27,full-mediation,0,1,1,0,27,152,40,61,0,101,chain,8
chain-8-101-26,27,epochcut,0,1,1,0,8,22,40,61,726500,101,chain,8
chain-8-101-27,28,startup-cut,1,1,0,1,1,1,41,64,0,101,chain,8
chain-8-101-27,28,periodic-5,1,1,1,0,8,22,41,64,0,101,chain,8
chain-8-101-27,28,sink-mediation,1,1,1,0,8,101,41,64,0,101,chain,8
chain-8-101-27,28,full-mediation,1,1,1,0,28,157,41,64,0,101,chain,8
chain-8-101-27,28,epochcut,1,1,1,0,7,27,41,64,756800,101,chain,8
chain-8-101-28,29,startup-cut,0,1,0,1,1,1,42,65,0,101,chain,8
chain-8-101-28,29,periodic-5,0,1,0,1,8,22,42,65,0,101,chain,8
chain-8-101-28,29,sink-mediation,0,1,1,0,9,114,42,65,0,101,chain,8
chain-8-101-28,29,full-mediation,0,1,1,0,29,170,42,65,0,101,chain,8
chain-8-101-28,29,epochcut,0,1,1,0,8,28,42,65,906800,101,chain,8
chain-8-101-29,30,startup-cut,1,1,0,1,1,1,42,67,0,101,chain,8
chain-8-101-29,30,periodic-5,1,1,1,0,9,30,42,67,0,101,chain,8
chain-8-101-29,30,sink-mediation,1,1,1,0,9,114,42,67,0,101,chain,8
chain-8-101-29,30,full-mediation,1,1,1,0,29,170,42,67,0,101,chain,8
chain-8-101-29,30,epochcut,1,1,1,0,9,30,42,67,872800,101,chain,8
chain-16-101-0,1,startup-cut,0,1,0,1,1,1,21,20,0,101,chain,16
chain-16-101-0,1,periodic-5,0,1,0,1,1,1,21,20,0,101,chain,16
chain-16-101-0,1,sink-mediation,0,1,1,0,3,36,21,20,0,101,chain,16
chain-16-101-0,1,full-mediation,0,1,1,0,19,82,21,20,0,101,chain,16
chain-16-101-0,1,epochcut,0,1,1,0,3,4,21,20,251200,101,chain,16
chain-16-101-1,2,startup-cut,1,1,0,1,1,1,23,23,0,101,chain,16
chain-16-101-1,2,periodic-5,1,1,0,1,1,1,23,23,0,101,chain,16
chain-16-101-1,2,sink-mediation,1,1,1,0,3,36,23,23,0,101,chain,16
chain-16-101-1,2,full-mediation,1,1,1,0,20,84,23,23,0,101,chain,16
chain-16-101-1,2,epochcut,1,1,1,0,4,6,23,23,279400,101,chain,16
chain-16-101-2,3,startup-cut,0,1,0,1,1,1,24,25,0,101,chain,16
chain-16-101-2,3,periodic-5,0,1,0,1,1,1,24,25,0,101,chain,16
chain-16-101-2,3,sink-mediation,0,1,1,0,3,36,24,25,0,101,chain,16
chain-16-101-2,3,full-mediation,0,1,1,0,21,88,24,25,0,101,chain,16
chain-16-101-2,3,epochcut,0,1,1,0,4,6,24,25,284600,101,chain,16
chain-16-101-3,4,startup-cut,1,1,0,1,1,1,26,27,0,101,chain,16
chain-16-101-3,4,periodic-5,1,1,0,1,1,1,26,27,0,101,chain,16
chain-16-101-3,4,sink-mediation,1,1,1,0,4,48,26,27,0,101,chain,16
chain-16-101-3,4,full-mediation,1,1,1,0,22,100,26,27,0,101,chain,16
chain-16-101-3,4,epochcut,1,1,1,0,4,6,26,27,345400,101,chain,16
chain-16-101-4,5,startup-cut,0,1,0,1,1,1,26,28,0,101,chain,16
chain-16-101-4,5,periodic-5,0,1,1,0,4,6,26,28,0,101,chain,16
chain-16-101-4,5,sink-mediation,0,1,1,0,4,48,26,28,0,101,chain,16
chain-16-101-4,5,full-mediation,0,1,1,0,22,100,26,28,0,101,chain,16
chain-16-101-4,5,epochcut,0,1,1,0,4,6,26,28,293600,101,chain,16
